Montrezl Harrell,C,WAS,46,6.7,2.1,14.1,2021-2022
Montrezl Harrell,C,CHO,25,4.9,2.0,11.4,2021-2022
Gary Harris,SG,ORL,61,2.0,1.8,11.1,2021-2022
Joe Harris,SF,BRK,14,4.0,1.0,11.3,2021-2022
Tobias Harris,PF,PHI,73,6.8,3.5,17.2,2021-2022
Shaquille Harrison,SG,BRK,2,2.0,1.5,2.0,2021-2022
Josh Hart,SG-SF,TOT,54,7.2,4.1,14.9,2021-2022
Josh Hart,SG,NOP,41,7.8,4.1,13.4,2021-2022
Josh Hart,SF,POR,13,5.4,4.3,19.9,2021-2022
Isaiah Hartenstein,C,LAC,68,4.9,2.4,8.3,2021-2022
Udonis Haslem,C,MIA,13,1.9,0.3,2.5,2021-2022
Sam Hauser,SF,BOS,26,1.1,0.4,2.5,2021-2022
Jaxson Hayes,C,NOP,70,4.5,0.6,9.3,2021-2022
Killian Hayes,PG,DET,66,3.2,4.2,6.9,2021-2022
Gordon Hayward,SF,CHO,49,4.6,3.6,15.9,2021-2022
Aaron Henry,SF,PHI,6,0.2,0.0,0.3,2021-2022
Juancho Hernangómez,PF,TOT,40,2.5,0.5,3.3,2021-2022
Juancho Hernangómez,PF,BOS,18,1.4,0.2,1.1,2021-2022
Juancho Hernangómez,PF,SAS,5,3.0,0.6,1.4,2021-2022
Juancho Hernangómez,PF,UTA,17,3.5,0.8,6.2,2021-2022
Willy Hernangómez,C,NOP,50,6.8,1.3,9.1,2021-2022
Tyler Herro,SG,MIA,66,5.0,4.0,20.7,2021-2022
Buddy Hield,SG,TOT,81,4.4,2.8,15.6,2021-2022
Buddy Hield,SG,SAC,55,4.0,1.9,14.4,2021-2022
Buddy Hield,SG,IND,26,5.1,4.8,18.2,2021-2022
Haywood Highsmith,SF,MIA,19,1.4,0.3,2.3,2021-2022
George Hill,SG,MIL,54,2.9,2.2,6.2,2021-2022
Malcolm Hill,SF-SG,TOT,19,1.8,0.4,3.8,2021-2022
Malcolm Hill,SG,ATL,3,2.0,0.3,5.7,2021-2022
Malcolm Hill,SF,CHI,16,1.8,0.4,3.4,2021-2022
Solomon Hill,PF,ATL,13,1.8,0.9,0.6,2021-2022
Nate Hinton,SG,IND,2,0.0,0.0,0.0,2021-2022
Jaylen Hoard,SF,OKC,7,12.0,2.4,14.7,2021-2022
Aaron Holiday,PG,TOT,63,1.9,2.4,6.3,2021-2022
Aaron Holiday,PG,WAS,41,1.6,1.9,6.1,2021-2022
Aaron Holiday,PG,PHO,22,2.5,3.4,6.8,2021-2022
Jrue Holiday,PG,MIL,67,4.5,6.8,18.3,2021-2022
Justin Holiday,SF-SG,TOT,74,2.6,1.7,10.1,2021-2022
Justin Holiday,SF,IND,49,2.8,1.8,11.0,2021-2022
Justin Holiday,SG,SAC,25,2.2,1.5,8.3,2021-2022
Richaun Holmes,C,SAC,45,7.0,1.1,10.4,2021-2022
Rodney Hood,SF-SG,TOT,52,1.5,0.7,3.1,2021-2022
Rodney Hood,SF,MIL,39,1.7,0.8,3.3,2021-2022
Rodney Hood,SG,LAC,13,0.8,0.6,2.6,2021-2022
Scotty Hopson,SG,OKC,1,1.0,1.0,4.0,2021-2022
Al Horford,C,BOS,69,7.7,3.4,10.2,2021-2022
Talen Horton-Tucker,SG,LAL,60,3.2,2.7,10.0,2021-2022
Danuel House Jr.,SF,TOT,42,2.6,1.0,5.9,2021-2022
Danuel House Jr.,SF,HOU,16,2.7,1.2,4.8,2021-2022
Danuel House Jr.,SF,NYK,1,0.0,0.0,0.0,2021-2022
Danuel House Jr.,SF,UTA,25,2.7,1.0,6.8,2021-2022
Dwight Howard,C,LAL,60,5.9,0.6,6.2,2021-2022
Markus Howard,SG,DEN,31,0.4,0.2,4.1,2021-2022
Kevin Huerter,SG,ATL,74,3.4,2.7,12.1,2021-2022
Jay Huff,C,LAL,4,1.0,0.3,0.0,2021-2022
Elijah Hughes,SG-SF,TOT,36,1.6,0.6,3.5,2021-2022
Elijah Hughes,SF,UTA,14,1.2,0.4,3.1,2021-2022
Elijah Hughes,SG,POR,22,1.9,0.7,3.8,2021-2022
Feron Hunt,SF,NYK,2,0.5,0.5,0.0,2021-2022
De'Andre Hunter,SF,ATL,53,3.3,1.3,13.4,2021-2022
Chandler Hutchison,SF,PHO,6,0.8,0.3,0.7,2021-2022
Bones Hyland,PG,DEN,69,2.7,2.8,10.1,2021-2022
Serge Ibaka,C-PF,TOT,54,4.6,0.9,6.8,2021-2022
Serge Ibaka,C,LAC,35,4.3,1.0,6.6,2021-2022
Serge Ibaka,PF,MIL,19,5.3,0.7,7.0,2021-2022
Andre Iguodala,SF,GSW,31,3.2,3.7,4.0,2021-2022
Joe Ingles,SF,UTA,45,2.9,3.5,7.2,2021-2022
Brandon Ingram,SF,NOP,55,5.8,5.6,22.7,2021-2022
Kyrie Irving,PG,BRK,29,4.4,5.8,27.4,2021-2022
Wes Iwundu,SF,ATL,3,4.3,0.0,7.3,2021-2022
Frank Jackson,PG,DET,53,1.6,1.0,10.6,2021-2022
Isaiah Jackson,PF,IND,36,4.1,0.3,8.3,2021-2022
Jaren Jackson Jr.,PF,MEM,78,5.8,1.1,16.3,2021-2022
Josh Jackson,SF,TOT,51,2.8,1.1,6.4,2021-2022
Josh Jackson,SF,DET,39,3.2,1.3,7.1,2021-2022
Josh Jackson,SF,SAC,12,1.5,0.4,4.3,2021-2022
Justin Jackson,SF,TOT,7,1.0,0.3,2.1,2021-2022
Justin Jackson,SF,BOS,1,0.0,0.0,2.0,2021-2022
Justin Jackson,SF,PHO,6,1.2,0.3,2.2,2021-2022
Reggie Jackson,SG,LAC,75,3.6,4.8,16.8,2021-2022
LeBron James,SF,LAL,56,8.2,6.2,30.3,2021-2022
DeJon Jarreau,SG,IND,1,0.0,0.0,0.0,2021-2022
DaQuan Jeffries,SG,MEM,3,0.7,0.3,0.7,2021-2022
Ty Jerome,SG,OKC,48,1.6,2.3,7.1,2021-2022
Isaiah Joe,SG,PHI,55,1.0,0.6,3.6,2021-2022
Alize Johnson,PF,TOT,23,2.7,0.4,1.8,2021-2022
Alize Johnson,PF,CHI,16,2.3,0.5,1.8,2021-2022
Alize Johnson,PF,WAS,3,4.0,0.0,1.3,2021-2022
Alize Johnson,PF,NOP,4,3.3,0.3,2.3,2021-2022
B.J. Johnson,SF,ORL,4,3.8,0.0,6.5,2021-2022
Cameron Johnson,PF,PHO,66,4.1,1.5,12.5,2021-2022
David Johnson,SG,TOR,2,0.0,0.0,0.0,2021-2022
Jalen Johnson,PF,ATL,22,1.2,0.1,2.4,2021-2022
James Johnson,PF,BRK,62,3.5,2.1,5.5,2021-2022
Joe Johnson,SG,BOS,1,0.0,0.0,2.0,2021-2022
Keldon Johnson,SF,SAS,75,6.1,2.1,17.0,2021-2022
Keon Johnson,SG,TOT,37,2.2,2.1,7.2,2021-2022
Keon Johnson,SG,LAC,15,1.4,0.9,3.5,2021-2022
Keon Johnson,SG,POR,22,2.7,2.9,9.7,2021-2022
Stanley Johnson,PF,LAL,48,3.2,1.7,6.7,2021-2022
Tyler Johnson,PG,TOT,6,2.0,1.2,2.8,2021-2022
Tyler Johnson,PG,PHI,3,2.0,0.7,3.7,2021-2022
Tyler Johnson,PG,SAS,3,2.0,1.7,2.0,2021-2022
